,AlgName,Acc,Recall,Precision,F1,Set
174,IF,0.8974293577279167,0.22662955230804918,0.01101062181275181,0.021000929672679986,Train
175,IF,0.4867814609447586,0.45614860098753823,0.004318144889341973,0.008555300758511204,Test
176,LOF,0.9951157909434659,0.0,0.0,0.0,Train
177,LOF,0.007962397759205951,0.9311074535621914,0.004537075121819321,0.009030148381756363,Test
178,KNN,0.9999994369787831,1.0,0.9998840310796706,0.9999420121774427,Train
179,KNN,0.9884068127809268,0.0,0.0,0.0,Test
180,IF,0.8970161551997824,0.1926223824712245,0.009350638859343233,0.017835474489108032,Train
181,IF,0.45937665697621266,0.4613935969868173,0.0041458229775892886,0.008217805384758905,Test
182,LOF,0.9951065860814048,0.0,0.0,0.0,Train
183,LOF,0.036969996160386154,0.9423258003766478,0.004728917157121019,0.009410608621650277,Test
184,KNN,1.0,1.0,1.0,1.0,Train
185,KNN,0.9118260106412155,0.09063088512241055,0.005225156754702641,0.009880662132683177,Test
186,IF,0.8977561878325238,0.21998612074947954,0.010729880064537239,0.020461733760784903,Train
187,IF,0.5710224369396572,0.3430622009569378,0.003895976874089852,0.007704458270204054,Test
188,LOF,0.995116435233533,0.0,0.0,0.0,Train
189,LOF,0.007101546894597482,1.0,0.004865302131770539,0.00968349115338951,Test
190,KNN,1.0,1.0,1.0,1.0,Train
191,KNN,0.9494216565243647,0.05191387559808613,0.005451439481485203,0.00986677579229755,Test
192,IF,0.8965338660626805,0.11677588466579292,0.005683195346285831,0.010838888618558707,Train
193,IF,0.5577337284437642,0.43315764254911354,0.004761378060791842,0.009419217704795048,Test
194,LOF,0.995106821565359,0.0,0.0,0.0,Train
195,LOF,0.010961290652723051,1.0,0.0048841963367357326,0.00972091382179334,Test
196,KNN,1.0,1.0,1.0,1.0,Train
197,KNN,0.8412572513153549,0.17345471969333973,0.005412355720351654,0.01049716547534471,Test
198,IF,0.8965060935670444,0.11109663974993488,0.005408284248768395,0.01031445171978065,Train
199,IF,0.6093757856513555,0.4287322675073182,0.00533739992375143,0.01054354055857507,Test
200,LOF,0.9949825121327611,0.00013024225058609013,0.0038461538461538464,0.0002519526329050139,Train
201,LOF,0.013179267330239188,1.0,0.004895120311277185,0.009742549669782191,Test
202,KNN,0.9999981032681954,0.9998697577494139,0.9997395494204975,0.9998046493455754,Train
203,KNN,0.9905601598520407,0.04638594911056068,0.04471456479270675,0.04553492484526968,Test
204,IF,0.8965863676438757,0.12550299075584556,0.006105949332261,0.011645332028195026,Train
205,IF,0.544198487703955,0.49121974371143806,0.005232558139534884,0.010354814988969872,Test
206,LOF,0.9951197622177523,0.0,0.0,0.0,Train
207,LOF,0.00837937342469162,1.0,0.004871541136430897,0.009695848547808542,Test
208,KNN,0.9999994720642814,1.0,0.9998912570682905,0.9999456255777283,Train
209,KNN,0.9922714852479714,0.0,0.0,0.0,Test
210,IF,0.8968806806733067,0.17663467975898237,0.00857622711019612,0.016358206487480754,Train
211,IF,0.5871433181830407,0.5018467220683287,0.005900457597585535,0.011663778441860841,Test
212,LOF,0.995117464678264,0.0,0.0,0.0,Train
213,LOF,0.006484818330957696,1.0,0.0048622966607066494,0.009677538259450513,Test
214,KNN,1.0,1.0,1.0,1.0,Train
215,KNN,0.9237364297304324,0.06625115420129271,0.004463521983234576,0.008363567484081538,Test
216,IF,0.8968988253481209,0.14917571371129876,0.007263685488291957,0.013852846181132498,Train
