,Error,Stock,Method,iSimul
274,0.28801765267710794,S14,PCA,3
275,0.2442099208023768,S15,PCA,3
276,0.4772679080153918,S16,PCA,3
277,0.3410098413161712,S17,PCA,3
278,0.34749442952546716,S18,PCA,3
279,0.2018745688992604,S19,PCA,3
280,0.1483840026272679,S0,Linear,3
281,0.0226353564347861,S1,Linear,3
282,0.16024702296482723,S2,Linear,3
283,0.1909422550969326,S3,Linear,3
284,0.06894368980147544,S4,Linear,3
285,0.17825934796035892,S5,Linear,3
286,0.14479961685776052,S6,Linear,3
287,0.061792319250412404,S7,Linear,3
288,0.06714498998935171,S8,Linear,3
289,0.08209375435957335,S9,Linear,3
290,0.05149191599180291,S10,Linear,3
291,0.09151416286949099,S11,Linear,3
292,0.10291450687358598,S12,Linear,3
293,0.027695190585819762,S13,Linear,3
294,0.02499812785498395,S14,Linear,3
295,0.12199394708019341,S15,Linear,3
296,0.24500365296370868,S16,Linear,3
297,0.04338780868160705,S17,Linear,3
298,0.10856525414426997,S18,Linear,3
299,0.04137415089646426,S19,Linear,3
300,2.939578136056233,S0,Ano,3
301,2.718171233948224,S1,Ano,3
302,2.692080881720979,S2,Ano,3
303,2.648047074789545,S3,Ano,3
304,3.6635383451736825,S4,Ano,3
305,2.215453322653445,S5,Ano,3
306,2.3275834901657864,S6,Ano,3
307,2.4221923794531968,S7,Ano,3
308,2.8992639358624834,S8,Ano,3
309,2.8405438823811577,S9,Ano,3
310,1.926067314081714,S10,Ano,3
311,2.402693288142837,S11,Ano,3
312,1.7790975362153432,S12,Ano,3
313,2.5648686705352026,S13,Ano,3
314,2.871135096605672,S14,Ano,3
315,2.619033659491557,S15,Ano,3
316,1.8399217620882677,S16,Ano,3
317,3.3476251005138757,S17,Ano,3
318,2.5800808197568696,S18,Ano,3
319,2.301025524114156,S19,Ano,3
320,0.17869465585513328,S0,BF,4
321,0.04993500077164505,S1,BF,4
322,0.2230626000651294,S2,BF,4
323,0.18953451228652093,S3,BF,4
324,0.08076354697811801,S4,BF,4
325,0.13613725512456898,S5,BF,4
326,0.23513009384956257,S6,BF,4
327,0.07211916387684757,S7,BF,4
328,0.1426015809681754,S8,BF,4
329,0.1622523596818331,S9,BF,4
330,0.0646183641526345,S10,BF,4
331,0.17488021231473172,S11,BF,4
332,0.10993425136788999,S12,BF,4
333,0.010212020682235269,S13,BF,4
334,0.055276225985809516,S14,BF,4
335,0.24366678523780727,S15,BF,4
336,0.31277761307415847,S16,BF,4
337,0.03907873312117563,S17,BF,4
338,0.1926804981704608,S18,BF,4
339,0.03859469767682768,S19,BF,4
340,0.44245989347862485,S0,PCA,4
341,0.28225578591120853,S1,PCA,4
342,0.41539649299328046,S2,PCA,4
343,0.512987720099451,S3,PCA,4
344,0.3565648183271814,S4,PCA,4
345,0.3290632672308689,S5,PCA,4
346,0.40453356704689747,S6,PCA,4
347,0.2521559710577936,S7,PCA,4
348,0.17255389565732474,S8,PCA,4
349,0.31075220015601607,S9,PCA,4
350,0.1597984012964426,S10,PCA,4
351,0.28653001234056175,S11,PCA,4
352,0.29333821432919227,S12,PCA,4
353,0.1743295856552684,S13,PCA,4
354,0.38486013188338447,S14,PCA,4
355,0.2445625097770093,S15,PCA,4
356,0.45455951114501125,S16,PCA,4
357,0.22471692920945902,S17,PCA,4
358,0.1922750562310603,S18,PCA,4
359,0.24270005311968215,S19,PCA,4
360,0.15503718530458513,S0,Linear,4
361,0.03137411681426377,S1,Linear,4
362,0.1613855048944538,S2,Linear,4
363,0.16001664113519581,S3,Linear,4
364,0.09176966697743459,S4,Linear,4
365,0.06061612836048803,S5,Linear,4
366,0.11936460923572735,S6,Linear,4
367,0.06613195550554546,S7,Linear,4
368,0.0860058090337555,S8,Linear,4
369,0.1095836882991598,S9,Linear,4
370,0.01818294699003769,S10,Linear,4
371,0.18733108170896037,S11,Linear,4
372,0.05593543583264267,S12,Linear,4
373,0.01570401672298049,S13,Linear,4
374,0.046551123231753554,S14,Linear,4
375,0.1837249858863098,S15,Linear,4
376,0.20197550354802468,S16,Linear,4
377,0.05056308046342126,S17,Linear,4
378,0.07540606991782867,S18,Linear,4
379,0.019841905616843018,S19,Linear,4
380,3.3172509153371665,S0,Ano,4
381,2.660564222355093,S1,Ano,4
382,2.8845361349498337,S2,Ano,4
383,3.4838269989644313,S3,Ano,4
384,2.469627415775925,S4,Ano,4
385,2.2900296898437693,S5,Ano,4
386,2.8424029859056703,S6,Ano,4
387,2.0604848922058276,S7,Ano,4
388,2.338875255506567,S8,Ano,4
389,2.5918959606032224,S9,Ano,4
390,2.234418481442058,S10,Ano,4
391,2.611163253005036,S11,Ano,4
392,2.521774642357385,S12,Ano,4
393,1.9288665620436862,S13,Ano,4
394,3.5187450348446947,S14,Ano,4
395,2.7569882800603738,S15,Ano,4
396,2.37349362223597,S16,Ano,4
397,2.3082053143662242,S17,Ano,4
398,2.057931954485916,S18,Ano,4
399,3.003164660125604,S19,Ano,4
400,0.15681538368145556,S0,BF,5
401,0.03834535512539268,S1,BF,5
402,0.11376501558725323,S2,BF,5
403,0.12932428181814082,S3,BF,5
404,0.08426088238268327,S4,BF,5
405,0.0947652599957255,S5,BF,5
406,0.15170981424690388,S6,BF,5
407,0.07293021359657052,S7,BF,5
408,0.08921104390464639,S8,BF,5
409,0.15299217072943977,S9,BF,5
410,0.07472804309780204,S10,BF,5
411,0.17537621680999266,S11,BF,5
412,0.12380264167381452,S12,BF,5
413,0.019530490649061052,S13,BF,5
414,0.06522570197236259,S14,BF,5
415,0.19588557379913768,S15,BF,5
416,0.32270855068476195,S16,BF,5
417,0.07414968771924522,S17,BF,5
418,0.1379523849927254,S18,BF,5
419,0.03167397095155549,S19,BF,5
420,0.2040268493976144,S0,PCA,5
421,0.23277633256663777,S1,PCA,5
422,0.227725788159262,S2,PCA,5
423,0.4173217175745186,S3,PCA,5
424,0.25031538772101336,S4,PCA,5
425,0.43015247099262205,S5,PCA,5
426,0.20443340149961,S6,PCA,5
427,0.09702664078986024,S7,PCA,5
428,0.36620862990073366,S8,PCA,5
429,0.264570443650055,S9,PCA,5
430,0.3608707141485257,S10,PCA,5
431,0.1854476003984719,S11,PCA,5
432,0.24535893388483515,S12,PCA,5
433,0.2093210609867482,S13,PCA,5
434,0.29331569445314426,S14,PCA,5
435,0.3555193097929475,S15,PCA,5
436,0.4375438437167266,S16,PCA,5
437,0.18588232194844265,S17,PCA,5
438,0.3531334919034877,S18,PCA,5
439,0.2848137948954235,S19,PCA,5
440,0.162046477031706,S0,Linear,5
441,0.022327143397223248,S1,Linear,5
442,0.10713668982728672,S2,Linear,5
443,0.05427961615488993,S3,Linear,5
444,0.09284323884039121,S4,Linear,5
445,0.1517695364757006,S5,Linear,5
446,0.12201338651467764,S6,Linear,5
447,0.07349352277978353,S7,Linear,5
448,0.02707417984759473,S8,Linear,5
449,0.12769077252751096,S9,Linear,5
450,0.059148929434822306,S10,Linear,5
451,0.09743768298621229,S11,Linear,5
452,0.09895141864817185,S12,Linear,5
453,0.02944789250615128,S13,Linear,5
454,0.0375488585154725,S14,Linear,5
455,0.13318410785101575,S15,Linear,5
456,0.12283413184453448,S16,Linear,5
457,0.02762871366948319,S17,Linear,5
458,0.11618067837571004,S18,Linear,5
459,0.023855151985046688,S19,Linear,5
460,3.016724380646347,S0,Ano,5
461,2.3486104987240646,S1,Ano,5
462,2.23985237877931,S2,Ano,5
463,2.073170609073678,S3,Ano,5
464,1.9517512714602552,S4,Ano,5
465,3.00786647602989,S5,Ano,5
466,2.0215187675232897,S6,Ano,5
467,1.6341854335040156,S7,Ano,5
468,2.4747590067440206,S8,Ano,5
469,2.8896966488127913,S9,Ano,5
470,3.338952840774309,S10,Ano,5
471,0.8885890854193939,S11,Ano,5
472,2.409728020119815,S12,Ano,5
473,2.1892072193443974,S13,Ano,5
474,1.9055928086774288,S14,Ano,5
475,2.6743768403320356,S15,Ano,5
476,2.820641524769816,S16,Ano,5
477,1.8443081902406413,S17,Ano,5
478,3.496443995475949,S18,Ano,5
479,3.1059592241557774,S19,Ano,5
480,0.37232076566136035,S0,BF,6
481,0.04274934374542153,S1,BF,6
482,0.17364097304846707,S2,BF,6
483,0.1771150369283965,S3,BF,6
484,0.1476848540966128,S4,BF,6
485,0.1494494335911627,S5,BF,6
486,0.0900682905342834,S6,BF,6
487,0.07382413827745075,S7,BF,6
488,0.12571485530423884,S8,BF,6
489,0.07204211745165534,S9,BF,6
490,0.068857032023756,S10,BF,6
491,0.06138411773027029,S11,BF,6
492,0.11734248355873134,S12,BF,6
493,0.028397608873136398,S13,BF,6
494,0.039467074537299085,S14,BF,6
495,0.13858003820876535,S15,BF,6
496,0.13978204131870509,S16,BF,6
497,0.0360663546831888,S17,BF,6
498,0.11996557888766043,S18,BF,6
499,0.01120209157815245,S19,BF,6
500,0.4350008028012931,S0,PCA,6
501,0.1265317967985254,S1,PCA,6
502,0.2706711021577366,S2,PCA,6
503,0.42279148118222404,S3,PCA,6
504,0.25075349052167406,S4,PCA,6
505,0.31252872313993646,S5,PCA,6
506,0.06477319861796332,S6,PCA,6
507,0.17498571174295824,S7,PCA,6
508,0.2743286533840074,S8,PCA,6
509,0.2812520109638172,S9,PCA,6
510,0.33618516813971466,S10,PCA,6
511,0.24667620444962457,S11,PCA,6
512,0.3426791341340758,S12,PCA,6
513,0.23568592966806245,S13,PCA,6
514,0.2371454753614639,S14,PCA,6
515,0.1432238443345924,S15,PCA,6
516,0.32136299244788963,S16,PCA,6
517,0.40479931107010864,S17,PCA,6
518,0.373127027190343,S18,PCA,6
519,0.31117969461760553,S19,PCA,6
520,0.2994376775279206,S0,Linear,6
521,0.021335475626248643,S1,Linear,6
522,0.07034104783002085,S2,Linear,6
523,0.2122151642734858,S3,Linear,6
524,0.15255969198288596,S4,Linear,6
525,0.058902376224712526,S5,Linear,6
526,0.0983719886116491,S6,Linear,6
527,0.049255833291236145,S7,Linear,6
528,0.11423427900190607,S8,Linear,6
529,0.07538050602536926,S9,Linear,6
530,0.05023078762593539,S10,Linear,6
531,0.11387093450506756,S11,Linear,6
532,0.08258299735779184,S12,Linear,6
533,0.01550840597704912,S13,Linear,6
534,0.03385855464169537,S14,Linear,6
535,0.10904485528605844,S15,Linear,6
536,0.20881575079634146,S16,Linear,6
537,0.057594890821722,S17,Linear,6
538,0.09036374121552042,S18,Linear,6
539,0.015814664239916076,S19,Linear,6
540,3.1800337527690132,S0,Ano,6
541,1.15385414196298,S1,Ano,6
542,2.5975975496853585,S2,Ano,6
543,1.938130185084685,S3,Ano,6
544,2.0335011039816364,S4,Ano,6
545,2.741014459384378,S5,Ano,6
546,1.491170370217928,S6,Ano,6
547,2.0879312829645333,S7,Ano,6
548,1.8504772396774032,S8,Ano,6
549,2.2438582498082567,S9,Ano,6
550,3.20617799168826,S10,Ano,6
551,2.0695889869865614,S11,Ano,6
552,2.5387054708792522,S12,Ano,6
553,2.3744006212984976,S13,Ano,6
554,2.2138123441462008,S14,Ano,6
555,1.3735498638197936,S15,Ano,6
556,3.339625548967705,S16,Ano,6
557,3.4931044664394815,S17,Ano,6
558,2.546629767468468,S18,Ano,6
559,3.1521743539722236,S19,Ano,6
560,0.19309869864646867,S0,BF,7
561,0.04037205905105305,S1,BF,7
562,0.11614498194967685,S2,BF,7
563,0.2220265974206618,S3,BF,7
564,0.1183041680775523,S4,BF,7
565,0.15726434890260227,S5,BF,7
566,0.15519570785177025,S6,BF,7
567,0.049329631793783094,S7,BF,7
568,0.07133427631732765,S8,BF,7
569,0.08059235658515106,S9,BF,7
570,0.04990680154662167,S10,BF,7
571,0.1573639281680504,S11,BF,7
572,0.18482480378363175,S12,BF,7
573,0.03180524375472044,S13,BF,7
574,0.08013030819409642,S14,BF,7
575,0.12127078690605043,S15,BF,7
576,0.2149781408004894,S16,BF,7
577,0.05333244725455946,S17,BF,7
578,0.1841776413937132,S18,BF,7
579,0.04361679171576573,S19,BF,7
580,0.31574986365137736,S0,PCA,7
581,0.21670379660109387,S1,PCA,7
582,0.3559318924383812,S2,PCA,7
583,0.3117403948181828,S3,PCA,7
584,0.37582231943499045,S4,PCA,7
585,0.258937044348295,S5,PCA,7
586,0.33797065051693337,S6,PCA,7
587,0.2921073134867981,S7,PCA,7
588,0.26900074524624373,S8,PCA,7
589,0.2847758660785005,S9,PCA,7
590,0.2680405406203457,S10,PCA,7
591,0.32638544904934563,S11,PCA,7
592,0.28277679139783446,S12,PCA,7
