,Error,Method,iSimul
254,0.0015604261073364086,Clean,50
255,0.00412250468765254,Ano,51
256,0.0016633397388609798,PCA,51
257,0.001660097811314042,Linear,51
258,0.0016875045964354419,BF,51
259,0.0016838697312892299,Clean,51
260,0.004392524060285394,Ano,52
261,0.00171908282833017,PCA,52
262,0.0016915616348727033,Linear,52
263,0.0017053567977709629,BF,52
264,0.0016797696679686385,Clean,52
265,0.004306308220094456,Ano,53
266,0.001814933420365518,PCA,53
267,0.0017880939406952196,Linear,53
268,0.0018132076223198162,BF,53
269,0.0018159481775504112,Clean,53
270,0.00408082399567303,Ano,54
271,0.0018363941794928864,PCA,54
272,0.0018230900922346133,Linear,54
273,0.001834014900849059,BF,54
274,0.0018370432053546252,Clean,54
275,0.004559090668725545,Ano,55
276,0.0016403305577549147,PCA,55
277,0.0015860069048302047,Linear,55
278,0.0015813260897892712,BF,55
279,0.0015743210451476142,Clean,55
280,0.003847396982910751,Ano,56
281,0.0013567702208801327,PCA,56
282,0.0013610395924670514,Linear,56
283,0.0013587661401973823,BF,56
284,0.0013342257384309072,Clean,56
285,0.0040747124899417906,Ano,57
286,0.0015883898699028684,PCA,57
287,0.0016025379997880195,Linear,57
288,0.001606745795989293,BF,57
289,0.001610714678555835,Clean,57
290,0.004441420998197837,Ano,58
291,0.0015611123802595458,PCA,58
292,0.0015138042781395425,Linear,58
293,0.0015181721424017526,BF,58
294,0.001498821799113806,Clean,58
295,0.00395965216718917,Ano,59
296,0.001645725088316664,PCA,59
297,0.0016160704015465647,Linear,59
298,0.00161961802653011,BF,59
299,0.001607413309265848,Clean,59
300,0.004327639820973703,Ano,60
301,0.001493381441121857,PCA,60
302,0.0014789054270781705,Linear,60
303,0.0014737900488738776,BF,60
304,0.0014746593641451202,Clean,60
305,0.004375539508472597,Ano,61
306,0.00152214846487323,PCA,61
307,0.0015055430405961823,Linear,61
308,0.0014754127741575692,BF,61
309,0.0014974209870583007,Clean,61
310,0.004010169870299858,Ano,62
311,0.0017527831187466412,PCA,62
312,0.0017659329267872845,Linear,62
313,0.0017737413793358237,BF,62
314,0.001778777361087713,Clean,62
315,0.0042438183367915815,Ano,63
316,0.0015219097985154878,PCA,63
317,0.0015001914320188772,Linear,63
318,0.0015316841125677613,BF,63
319,0.0014904232071425764,Clean,63
320,0.004017760518936956,Ano,64
321,0.0015433230032405021,PCA,64
322,0.0015241714369878638,Linear,64
323,0.0015347596446379972,BF,64
324,0.0015338623057768082,Clean,64
325,0.0038770760102672763,Ano,65
326,0.001527973888367094,PCA,65
327,0.0015200225828183814,Linear,65
328,0.001528690315000903,BF,65
329,0.001498143388319845,Clean,65
330,0.00404162196312452,Ano,66
331,0.0013117499412131813,PCA,66
332,0.0013133636053774488,Linear,66
333,0.0013164921612737815,BF,66
334,0.0013004580045491657,Clean,66
335,0.0043628810343983825,Ano,67
336,0.0016255049854188473,PCA,67
337,0.0015523657916086536,Linear,67
338,0.0015651783891489277,BF,67
339,0.00155788242597223,Clean,67
340,0.0043113228469351065,Ano,68
341,0.0015090232183474414,PCA,68
342,0.0015144756370951513,Linear,68
343,0.0015237725728110437,BF,68
344,0.0015238608536637893,Clean,68
345,0.004427514826417078,Ano,69
346,0.0015933291167513394,PCA,69
347,0.0016116927993861797,Linear,69
348,0.00162035434544062,BF,69
349,0.001572512488172141,Clean,69
350,0.004383266849226208,Ano,70
351,0.0013937720804455792,PCA,70
352,0.0014525393997597144,Linear,70
353,0.001433573660933196,BF,70
354,0.00143748472803909,Clean,70
355,0.004198576452853882,Ano,71
356,0.001717159017562946,PCA,71
357,0.0016525531311399715,Linear,71
358,0.0016612194557040717,BF,71
359,0.0016420335955066394,Clean,71
360,0.003974470870172589,Ano,72
361,0.0013763186980795743,PCA,72
362,0.0013160565058492875,Linear,72
363,0.001329487466698314,BF,72
364,0.0013043858508762275,Clean,72
365,0.004074692999717222,Ano,73
366,0.0017709846073246023,PCA,73
367,0.0016945196524571116,Linear,73
368,0.0016563664950625986,BF,73
369,0.0017045792008713507,Clean,73
370,0.004401101736237381,Ano,74
371,0.0017548363870228745,PCA,74
372,0.0017306766560332757,Linear,74
373,0.0017292687985945856,BF,74
374,0.0016996725481591862,Clean,74
375,0.004199473205231183,Ano,75
376,0.0015263703156673328,PCA,75
377,0.0014717220882717531,Linear,75
378,0.0014729655774076771,BF,75
379,0.0014889670660577984,Clean,75
380,0.003947316079888755,Ano,76
381,0.0014469100622451763,PCA,76
382,0.0014160229705642068,Linear,76
383,0.0014119586347581163,BF,76
384,0.0014013249003444095,Clean,76
385,0.004168327400765146,Ano,77
386,0.0016628818154172133,PCA,77
387,0.0016755515119689375,Linear,77
388,0.0016614175219102024,BF,77
389,0.0016813150676326365,Clean,77
390,0.00421035876624961,Ano,78
391,0.0015899712902971495,PCA,78
392,0.0015628823912713986,Linear,78
393,0.0015731028133124014,BF,78
394,0.0015217081173155317,Clean,78
395,0.004082096901543926,Ano,79
396,0.0017217630982101814,PCA,79
397,0.0017519110962943714,Linear,79
398,0.0017627302873683326,BF,79
399,0.0017422763075653817,Clean,79
400,0.004130410510231377,Ano,80
401,0.0015355836134776236,PCA,80
402,0.001515782737125892,Linear,80
403,0.0015127222511666077,BF,80
404,0.0015126932704010597,Clean,80
405,0.003930542279566106,Ano,81
406,0.0013031896233582218,PCA,81
407,0.00128650327794896,Linear,81
408,0.0012908733477570702,BF,81
409,0.0012800804380385836,Clean,81
410,0.00411431811284402,Ano,82
411,0.0015303975323130183,PCA,82
412,0.0015189624558166392,Linear,82
413,0.0015365443314134298,BF,82
414,0.0015117553316734708,Clean,82
