,Theo,Clean,Ano,BFTrue,BFPred,AnoNumber
30,-0.5468505162350134,-0.5464537574290785,-0.562101360188133,-0.5587440441013197,-0.5466043489169964,5.0
31,-0.5468505162350134,-0.5523694544661746,-0.5667824356714638,-0.5562783263095924,-0.5521310351151449,5.0
32,-0.5468505162350134,-0.542772893120842,-0.5715926752444567,-0.543525631992701,-0.540708249732687,5.0
33,-0.5468505162350134,-0.5586438573486332,-0.5727952037367144,-0.5550336393257586,-0.5544293258723803,5.0
34,-0.5468505162350134,-0.5486222284217072,-0.5834885351979137,-0.5509447347937678,-0.5497003964415914,5.0
35,-0.5468505162350134,-0.5497281579708729,-0.5670213621257149,-0.5544833770688665,-0.5477224124718896,5.0
36,-0.5468505162350134,-0.544849132720659,-0.5647685280978758,-0.5463782616037652,-0.5453841397392908,5.0
37,-0.5468505162350134,-0.5465242163303212,-0.5905050938423568,-0.5423294144664372,-0.55773886753119,5.0
38,-0.5468505162350134,-0.539644306186555,-0.5545699582395517,-0.5457925799990607,-0.5404128926220323,5.0
39,-0.5468505162350134,-0.5342511171727385,-0.5776355717949578,-0.5314087646169792,-0.5401782364506446,5.0
40,-0.5468505162350134,-0.5563543281090474,-0.5511816022332922,-0.5531544138324764,-0.5534673373030407,5.0
41,-0.5468505162350134,-0.5436665278383798,-0.5584780574758974,-0.5531117441500161,-0.5541721816663864,5.0
42,-0.5468505162350134,-0.533870401558347,-0.5731435778040207,-0.5444954099159985,-0.5359597277563518,5.0
43,-0.5468505162350134,-0.5290344285725687,-0.5524676004633209,-0.5442942364732786,-0.5314993665495658,5.0
44,-0.5468505162350134,-0.5503768689687539,-0.5526522615476838,-0.551831602755654,-0.5501803560414629,5.0
45,-0.5468505162350134,-0.5455695787673508,-0.5631901378424145,-0.5498923697980312,-0.5548737076415362,5.0
46,-0.5468505162350134,-0.5493264020170252,-0.5603049614995286,-0.5574547381908952,-0.5571255138364334,5.0
47,-0.5468505162350134,-0.5549088344613369,-0.5662572986928963,-0.5536933377336719,-0.5539446953984367,5.0
